שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אשל הנשיא,2021,ESHEL HANASI,6,62,622,42,344,1,355,355,342,,1952,340,,1711958167,180,651,10001893,2018,Eshel HaNasi,620
אשלים,1152,ASHALIM,6,62,626,48,,1,550,548,525,2,1976,370,19,1713254166,320,620,10001918,2018,Ashalim,610
אשקלון,7100,ASHQELON,6,61,614,0,,1,140968,140648,122393,320,1948,140,,1596761983,-3,604,10001805,2018,Ashqelon,
אשרת,1256,ASHERAT,2,24,245,4,,1,549,548,536,1,1983,370,13,2148876406,30,201,10004302,2018,Asherat,212
אשתאול,740,ESHTA'OL,1,11,112,26,444,1,1252,1252,1226,,1949,310,1,2009563206,241,151,15000597,2018,Eshta'ol,
באקה אל-גרביה,6000,BAQA AL-GHARBIYYE,3,32,324,0,,2,29393,30,13,29363,,260,,2041570285,40,354,15002436,2018,Baqa Al-Gharbiyye,
באר אורה,21,BE'ER ORA,6,62,625,53,,1,965,937,866,28,1950,370,19,1983840251,99,608,10001955,2018,Be'er Ora,
באר גנים,1376,BE'ER GANNIM,6,61,614,36,,1,1295,1295,1292,,2012,370,,1629762325,28,633,10001805,2018,Be'er Gannim,
באר טוביה,155,BE'ER TOVIYYA,6,61,611,33,143,1,1214,1214,1197,,1930,310,1,1738362694,40,616,10001821,2018,Be'er Toviyya,420
באר יעקב,2530,BE'ER YA'AQOV,4,43,432,99,133,1,26122,26004,25133,118,1907,160,,1849465002,49,455,10002228,2018,Be'er Ya'aqov,
באר מילכה,1278,BE'ER MILKA,6,62,626,48,,1,189,189,189,,2006,310,1,1432753827,197,620,10001918,2018,Be'er Milka,610
באר שבע,9000,BE'ER SHEVA,6,62,623,0,310,1,209002,203622,181644,5380,1948,130,,1796357355,196,605,10001900,2018,Be'er Sheva,
בארות יצחק,450,BE'EROT YIZHAQ,4,42,422,25,142,1,420,420,417,,1948,330,3,1916866088,49,424,10002116,2018,Be'erot Yizhaq,
בארותיים,697,BE'EROTAYIM,4,41,412,16,141,1,1154,1154,1139,,1949,310,1,1986369200,27,409,15000060,2018,Be'erotayim,
בארי,399,BE'ERI,6,62,622,38,,1,1037,1037,990,,1946,330,15,1516259265,80,651,10001893,2018,Be'eri,620
בוסתן הגליל,559,BUSTAN HAGALIL,2,24,246,4,241,1,1305,1302,1265,3,1948,310,10,2080476169,-2,201,10004315,2018,Bustan HaGalil,212
בועיינה-נוג'ידאת,482,BU'EINE-NUJEIDAT,2,25,237,99,,2,9645,14,4,9631,,280,,2348174591,150,251,10004552,2018,Bu'eine-Nujeidat,214
בוקעאתא,4001,BUQ'ATA,2,29,292,99,,2,6528,,,6528,,280,,2730078971,990,256,10004579,2018,Buq'ata,211
בורגתה,698,BURGETA,4,41,411,16,141,1,1120,1119,1112,1,1949,310,1,1966969241,27,409,15000060,2018,Burgeta,
בחן,2043,BAHAN,4,41,412,16,141,1,1054,1049,1025,5,1953,330,15,2019669523,50,409,10002155,2018,Bahan,
בטחה,762,BITHA,6,62,622,42,344,1,789,787,781,2,1950,310,1,1650258264,108,651,10001893,2018,Bitha,620
"בי""ס אזורי מקיף (אשר)",1725,,2,24,245,4,,,,,,,,520,,2144276829,59,201,10004302,2018,,212
ביצרון,234,BIZZARON,6,61,611,33,143,1,1267,1267,1260,,1935,310,1,1744563381,40,616,10001821,2018,Bizzaron,420
ביר אל-מכסור,998,BIR EL-MAKSUR,2,24,241,99,241,2,9317,6,,9311,,280,,2211374310,170,261,10004497,2018,Bir El-Maksur,310
ביר הדאג',1348,BIR HADAGE,6,62,626,68,,2,5735,16,14,5719,,280,,1714554846,260,624,10001918,2018,Bir Hadage,610
בירייה,368,BIRIYYA,2,21,212,2,,1,843,843,840,,1945,350,,2471076480,751,209,10004528,2018,Biriyya,211
בית אורן,317,BET OREN,3,32,322,15,223,1,467,454,442,13,1939,330,15,2008573740,338,303,10004171,2018,Bet Oren,
בית אל,3574,BET EL,7,74,,99,445,1,6042,6042,6027,,1977,180,,2212164987,799,711,10003299,2018,Bet El,
בית אלעזרי,562,BET EL'AZARI,4,44,441,28,143,1,1563,1563,1553,,1948,310,1,1814663909,40,456,15002488,2018,Bet El'azari,420
בית אלפא,95,BET ALFA,2,23,232,8,,1,692,690,646,2,1922,330,15,2407871368,-93,204,10004568,2018,Bet Alfa,213
בית אריה,3652,BET ARYE,7,74,,99,145,1,5139,5139,4983,,1981,180,,2048666000,160,719,10004054,2018,Bet Arye,
בית ברל,1076,BET BERL,4,42,421,20,141,1,208,160,147,48,1947,340,,1932267865,60,417,10002133,2018,Bet Berl,
בית ג'ן,480,BEIT JANN,2,24,243,99,,2,11864,1,,11863,,270,,2357076326,730,258,10004465,2018,Beit Jann,212
בית גוברין,619,BET GUVRIN,6,61,612,35,,1,426,426,422,,1949,330,15,1901861345,240,632,10001813,2018,Bet Guvrin,420
בית גמליאל,571,BET GAMLI'EL,4,44,441,29,143,1,1019,1013,1013,6,1949,310,2,1775164051,23,456,15002488,2018,Bet Gamli'el,420
בית דגן,466,BET DAGAN,4,43,432,99,133,1,7211,7203,7091,8,1948,180,,1840765643,27,455,10002207,2018,Bet Dagan,
בית הגדי,723,BET HAGADDI,6,62,621,39,,1,839,839,839,,1949,310,2,1626059275,130,651,10001930,2018,Bet HaGaddi,620
בית הלוי,373,BET HALEWI,4,41,411,16,141,1,803,803,802,,1945,310,1,1937569557,9,409,15000060,2018,Bet HaLewi,
בית הלל,322,BET HILLEL,2,21,211,55,,1,791,790,778,1,1940,310,1,2568779040,80,253,10004591,2018,Bet Hillel,211
בית העמק,572,BET HAEMEQ,2,24,245,4,,1,553,553,519,,1949,330,15,2139376350,25,201,10004302,2018,Bet HaEmeq,212
בית הערבה,3645,BET HAARAVA,7,75,,74,,1,290,290,285,,1980,330,15,2452263505,-340,713,10003314,2018,Bet HaArava,
בית השיטה,242,BET HASHITTA,2,23,232,8,,1,1264,1263,1214,1,1935,330,15,2414771748,-81,204,10004568,2018,Bet HaShitta,213
בית זיד,353,BET ZEID,2,23,235,9,,1,79,79,76,,1943,350,,2110773411,70,254,10004207,2018,Bet Zeid,213
בית זית,710,BET ZAYIT,1,11,111,26,444,1,1678,1678,1643,,1949,310,1,2154163215,540,151,10002475,2018,Bet Zayit,
בית זרע,143,BET ZERA,2,22,221,6,,1,590,590,564,,1926,330,15,2540573277,-220,214,10004552,2018,Bet Zera,214
בית חולים פוריה,1712,,2,22,221,6,,,,,,,,520,,2509473984,169,214,10004552,2018,,214
בית חורון,3575,BET HORON,7,74,,73,445,1,1362,1362,1361,,1977,370,11,2121064280,601,711,10004054,2018,Bet Horon,
בית חירות,877,BET HERUT,4,41,411,16,141,1,904,904,892,,1933,320,1,1878069842,11,409,15000060,2018,Bet Herut,
בית חלקיה,2033,BET HILQIYYA,4,44,441,31,143,1,1221,1221,1221,,1953,310,8,1822563335,60,456,15002488,2018,Bet Hilqiyya,420
בית חנן,159,BET HANAN,4,44,442,27,143,1,548,547,544,1,1930,310,1,1786964903,28,456,15002488,2018,Bet Hanan,
בית חנניה,800,BET HANANYA,3,32,324,15,,1,912,912,888,,1950,310,1,1932871493,10,303,10004333,2018,Bet Hananya,
בית חשמונאי,1050,BET HASHMONAY,4,43,432,30,143,1,2190,2190,2181,,1972,190,,1924564399,90,426,10002228,2018,Bet Hashmonay,
בית יהושע,288,BET YEHOSHUA,4,41,411,19,141,1,1054,1054,1041,,1938,310,6,1875268523,11,401,15000060,2018,Bet Yehoshua,
בית יוסף,265,BET YOSEF,2,23,231,7,,1,460,460,457,,1937,310,1,2520671839,-242,202,10004568,2018,Bet Yosef,214
בית ינאי,200,BET YANNAY,4,41,411,16,141,1,387,387,386,,1933,310,10,1873769865,10,409,15000060,2018,Bet Yannay,
בית יצחק-שער חפר,326,BET YIZHAQ-SH. HEFER,4,41,411,16,141,1,2079,2079,2048,,1940,191,,1899269340,12,409,15000060,2018,Bet Yizhaq-Sh. Hefer,
בית לחם הגלילית,430,BET LEHEM HAGELILIT,2,23,237,9,242,1,825,824,809,1,1948,310,1,2181773782,122,254,10004411,2018,Bet Lehem HaGelilit,213
בית מאיר,751,BET ME'IR,1,11,111,26,444,1,874,874,872,,1950,310,2,2035763349,519,151,15000597,2018,Bet Me'ir,
בית נחמיה,784,BET NEHEMYA,4,43,432,25,142,1,871,871,862,,1950,310,6,1958765375,69,424,10002168,2018,Bet Nehemya,
בית ניר,16,BET NIR,6,61,612,35,,1,612,612,599,,1955,330,15,1880461729,230,632,10001813,2018,Bet Nir,420
בית נקופה,672,BET NEQOFA,1,11,111,26,444,1,723,717,699,6,1949,310,1,2120263464,621,151,10002475,2018,Bet Neqofa,
בית עובד,202,BET OVED,4,44,442,27,143,1,253,253,253,,1933,310,1,1787064773,20,456,15002488,2018,Bet Oved,
בית עוזיאל,301,BET UZZI'EL,4,43,432,30,143,1,645,645,636,,1956,310,2,1911464200,120,426,10002228,2018,Bet Uzzi'el,
בית עזרא,756,BET EZRA,6,61,611,33,143,1,1137,1136,1110,1,1950,310,1,1674262732,37,616,10001821,2018,Bet Ezra,420
בית עריף,604,BET ARIF,4,43,432,25,142,1,1156,1155,1142,1,1951,310,1,1939465589,50,424,10002168,2018,Bet Arif,
בית צבי,212,BET ZEVI,3,32,321,15,223,1,345,345,345,,1953,340,,1974573615,28,303,10004333,2018,Bet Zevi,
בית קמה,598,BET QAMA,6,62,621,41,341,1,1396,1396,1386,,1949,330,15,1773459523,230,625,10001946,2018,Bet Qama,620
בית קשת,365,BET QESHET,2,22,222,3,,1,706,706,691,,1944,330,15,2372073606,144,206,10004552,2018,Bet Qeshet,214
בית רבן,848,BET RABBAN,4,44,441,29,143,1,979,979,963,,1946,340,,1744963615,49,456,10001821,2018,Bet Rabban,420
בית רימון,1162,BET RIMMON,2,23,237,3,,1,789,789,789,,1977,330,3,2310474304,367,206,15002369,2018,Bet Rimmon,214
בית שאן,9200,BET SHE'AN,2,23,231,0,,1,18227,18081,17757,146,1948,170,,2469671125,-200,203,10004568,2018,Bet She'an,214
בית שמש,2610,BET SHEMESH,1,11,112,0,444,1,118676,118549,116553,127,1950,140,,1990162679,160,102,10002507,2018,Bet Shemesh,
בית שערים,248,BET SHE'ARIM,2,23,235,9,,1,744,744,739,,1936,310,1,2169973357,51,254,10004411,2018,Bet She'arim,213
בית שקמה,747,BET SHIQMA,6,61,614,36,,1,873,869,845,4,1950,310,1,1628461632,46,633,10001829,2018,Bet Shiqma,
ביתן אהרן,252,BITAN AHARON,4,41,411,16,141,1,122,122,117,,1936,310,10,1879969688,20,409,15000060,2018,Bitan Aharon,
ביתר עילית,3780,BETAR ILLIT,7,76,,0,445,1,56746,56744,56726,2,1985,150,,2107362248,568,716,15000586,2018,Betar Illit,
בלפוריה,94,BALFURYA,2,23,234,9,,1,512,512,505,,1922,310,1,2280872620,70,254,10004394,2018,Balfurya,213
בן זכאי,760,BEN ZAKKAY,4,44,441,29,143,1,1115,1115,1094,,1950,310,2,1744464050,26,456,15002488,2018,Ben Zakkay,420
בן עמי,712,BEN AMMI,2,24,245,4,,1,775,773,749,2,1949,310,1,2119076783,15,201,10004302,2018,Ben Ammi,212
בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR),4,43,432,25,142,1,617,615,567,2,1921,340,,1932665185,61,424,10002261,2018,Ben Shemen(K.No'ar),
בן שמן (מושב),2013,BEN SHEMEN (MOSHAV),4,43,432,25,142,1,865,865,852,,1952,310,1,1928365110,55,424,10002261,2018,Ben Shemen (Moshav),
בני ברק,6100,BENE BERAQ,5,52,512,0,122,1,198863,198799,197439,64,1924,140,,1845566599,2,501,10001473,2018,Bene Beraq,
בני דקלים,1368,BNE DEQALIM,6,61,612,50,,1,1016,1016,1015,,2009,370,11,1924560284,359,634,10001813,2018,Bne Dkalim,
בני דרום,592,BENE DAROM,4,44,441,29,143,1,847,846,845,1,1949,320,2,1708963652,20,456,10001836,2018,Bene Darom,420
בני דרור,386,BENE DEROR,4,41,411,18,141,1,1221,1221,1213,,1946,320,1,1907168542,18,412,15000060,2018,Bene Deror,
בני יהודה,4015,BENE YEHUDA,2,29,294,71,,1,1070,1070,966,,1972,370,13,2648874494,327,219,10004579,2018,Bene Yehuda,211
בני נצרים,1363,BNE NETSARIM,6,62,622,38,,1,728,728,728,,2010,310,11,1346156141,90,651,10001893,2018,Bne Netsarim,620
בני עטרות,448,BENE ATAROT,4,42,422,25,142,1,975,975,969,,1948,310,1,1920265901,44,424,10002116,2018,Bene Atarot,
"בני עי""ש",1066,BENE AYISH,4,44,441,99,143,1,7017,6968,5640,49,1958,180,,1774163306,62,453,10001821,2018,Bene Ayish,420
בני ציון,418,BENE ZIYYON,4,41,411,19,141,1,1365,1360,1337,5,1947,310,10,1877968066,20,401,15000060,2018,Bene Ziyyon,
בני ראם,588,BENE RE'EM,4,44,441,31,143,1,1387,1374,1371,13,1949,310,8,1803363099,58,456,15002488,2018,Bene Re'em,420
בניה,685,BENAYA,4,44,441,28,143,1,808,808,807,,1949,310,1,1767263908,30,456,15002488,2018,Benaya,420
בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA,3,32,324,99,,1,15627,15598,15081,29,1903,170,,1967571417,10,353,10004333,2018,Binyamina-Giv'at Ada,
"בסמ""ה",1326,BASMA,3,32,323,99,,2,9779,3,,9776,,280,,2100771513,137,354,10004233,2018,Basma,
בסמת טבעון,944,BASMAT TAB'UN,2,23,237,99,242,2,7835,19,14,7816,,280,,2148073835,118,257,10004207,2018,Basmat Tab'un,
בענה,483,BI'NE,2,24,242,99,,2,8299,13,4,8286,,280,,2258875935,220,260,15002358,2018,Bi'ne,210
בצרה,389,BAZRA,4,41,411,19,141,1,1217,1217,1183,,1946,310,10,1886968001,20,401,15000060,2018,Bazra,
בצת,589,BEZET,2,24,245,4,,1,279,272,266,7,1949,310,1,2129677511,16,201,10004302,2018,Bezet,212
בקוע,864,BEQOA,1,11,112,26,,1,752,749,730,3,1951,310,1,1930663736,129,151,15000597,2018,Beqoa,
בקעות,3612,BEQA'OT,7,75,,75,,1,176,176,173,,1972,310,10,2428968327,40,712,10003262,2018,Beqa'ot,
"בקעת נטופה מ""א 56",1854,,2,24,241,56,,,,,,,,530,,2546075680,,,,2018,,210
"בקעת תירען מ""א 3",1884,,2,23,237,3,,,,,,,,530,,2334074370,,,,2018,,214
בר-לב,1728,,2,24,242,4,241,,,,,,,520,,2184675665,24,201,10004315,2018,,212
בר גיורא,823,BAR GIYYORA,1,11,111,26,444,1,672,669,660,3,1950,310,9,2069462636,663,151,15000597,2018,Bar Giyyora,
בר יוחאי,1191,BAR YOHAY,2,21,212,2,,1,1062,1062,1062,,1979,370,2,2422976699,700,209,10004528,2018,Bar Yohay,211
ברוכין,3744,BRUKHIN,7,73,,72,,1,1093,1093,1076,,2012,370,2,2086566533,336,710,10003262,2018,Brukhin,
ברור חיל,428,BEROR HAYIL,6,61,614,37,,1,986,978,957,8,1948,330,15,1665260743,59,651,10001829,2018,Beror Hayil,620
ברוש,2060,BEROSH,6,62,621,41,344,1,538,538,536,,1953,310,1,1650558666,112,625,10001893,2018,Berosh,620
ברכה,3710,BERAKHA,7,72,,72,,1,2620,2613,2215,7,1983,190,,2251867768,798,710,10003262,2018,Berakha,
ברכיה,746,BEREKHYA,6,61,614,36,,1,1273,1273,1273,,1950,310,1,1645461979,39,633,10001821,2018,Berekhya,
ברעם,667,BAR'AM,2,24,244,1,,1,590,590,527,,1949,330,15,2408677373,671,253,10004528,2018,Bar'am,211
ברק,141,BARAQ,2,23,234,8,,1,410,410,408,,1956,310,1,2251371651,70,204,10004394,2018,Baraq,213
ברקאי,617,BARQAY,3,32,324,14,,1,542,541,511,1,1949,330,15,2029770901,50,351,15002436,2018,Barqay,
ברקן,3654,BARQAN,7,73,,72,145,1,1833,1830,1711,3,1981,370,9,2101566821,368,710,10003262,2018,Barqan,
ברקת,2038,BAREQET,4,42,422,25,142,1,2035,2035,2030,,1952,191,,1948865814,60,424,10002168,2018,Bareqet,
בת הדר,1323,BAT HADAR,6,61,614,36,,1,763,763,749,,1995,350,,1618161736,55,633,10001829,2018,Bat Hadar,
בת חן,1361,BAT HEN,4,41,411,16,141,1,411,411,397,,1967,350,,1881869630,21,409,15000060,2018,Bat Hen,
בת חפר,1319,BAT HEFER,4,41,412,16,141,1,5342,5340,5259,2,1996,180,,2014969329,50,409,10002155,2018,Bat Hefer,
בת ים,6200,BAT YAM,5,53,513,0,123,1,128774,127991,102268,783,1926,140,,1765265859,1,502,10001430,2018,Bat Yam,
בת עין,3794,BAT AYIN,7,76,,76,445,1,1545,1543,1538,2,1989,370,11,2096361842,627,714,15000586,2018,Bat Ayin,
בת שלמה,33,BAT SHELOMO,3,32,322,15,243,1,651,651,635,,1889,310,7,2005972291,59,303,10004333,2018,Bat Shelomo,
בתי זיקוק - קישון,1736,,3,31,311,,210,,,,,,,520,,2057074450,,,10004207,2018,,
ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,24,246,99,241,2,20920,29,16,20891,,260,,2140675939,10,252,10004315,2018,Judeide-Maker,
ג'ולס,485,JULIS,2,24,243,99,,2,6375,,,6375,,280,,2174976079,43,252,10004315,2018,Julis,
ג'לג'וליה,627,JALJULYE,4,42,421,99,142,2,9984,162,133,9822,,280,,1957367322,26,451,15000658,2018,Jaljulye,
ג'נאביב (שבט),976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,0,699,15003711,2018,Janabib,
ג'סר א-זרקא,541,JISR AZ-ZARQA,3,32,324,99,,2,14692,15,,14677,,270,,1919771586,0,353,10004333,2018,Jisr Az-Zarqa,
ג'ש (גוש חלב),487,JISH(GUSH HALAV),2,21,212,99,,2,3090,7,6,3083,,290,,2420276976,589,258,10004528,2018,Jish(Gush Halav),211
ג'ת,628,JATT,3,32,324,99,,2,11798,8,3,11790,,270,,2036070063,31,354,15002436,2018,Jatt,
גאולי תימן,872,GE'ULE TEMAN,4,41,411,16,141,1,363,273,270,90,1947,310,2,1909769986,8,409,15000060,2018,Ge'ule Teman,
גאולים,379,GE'ULIM,4,41,411,18,141,1,954,954,934,,1945,310,1,1950268938,41,412,15000060,2018,Ge'ulim,
"גאון הירדן מ""א 3",1963,,2,22,222,3,,,,,,,,530,,,,,,2018,,214
גאליה,853,GE'ALYA,4,44,442,27,143,1,990,990,976,,1948,310,1,1779264365,20,456,15002488,2018,Ge'alya,
גבולות,352,GEVULOT,6,62,622,38,,1,344,344,291,,1943,330,15,1490356905,130,651,10001893,2018,Gevulot,620
גבים,424,GEVIM,6,61,614,37,,1,623,621,604,2,1947,330,15,1618560187,104,651,10001829,2018,Gevim,620
גבע,86,GEVA,2,23,232,8,,1,628,628,612,,1921,330,15,2351971912,-7,204,10004394,2018,Geva,213
גבע בנימין,3763,GEVA BINYAMIN,7,74,,73,445,1,5525,5507,5371,18,1984,180,,2260763967,364,711,10003299,2018,Geva Binyamin,
גבע כרמל,683,GEVA KARMEL,3,32,321,15,243,1,1196,1196,1182,,1949,310,1,1960272983,14,303,10004333,2018,Geva Karmel,
גבעולים,2014,GIV'OLIM,6,62,621,39,,1,384,384,384,,1952,310,2,1611658959,110,651,10001930,2018,Giv'olim,620
גבעון החדשה,3644,GIV'ON HAHADASHA,7,74,,73,445,1,1086,1020,993,66,1980,370,11,2150863946,763,711,10002489,2018,Giv'on HaHadasha,
גבעות בר,1344,GEVA'OT BAR,6,62,623,41,341,1,1143,1141,1124,2,2004,370,19,1768358505,219,625,10001946,2018,Geva'ot Bar,620
גבעת אבני,1293,GIV'AT AVNI,2,22,222,3,,1,1976,1976,1954,,1991,370,,2414274234,261,206,10004552,2018,Giv'at Avni,214
גבעת אלה,1288,GIV'AT ELA,2,23,237,9,,1,1973,1972,1956,1,1988,370,13,2232973632,211,254,10004411,2018,Giv'at Ela,213
גבעת ברנר,147,GIV'AT BRENNER,4,44,441,28,143,1,2703,2703,2651,,1928,193,,1812764167,45,456,15002488,2018,Giv'at Brenner,420
גבעת השלושה,870,GIV'AT HASHELOSHA,4,42,422,20,142,1,857,857,841,,1925,330,15,1927366719,24,417,10002116,2018,Giv'at HaShelosha,
גבעת זאב,3730,GIV'AT ZE'EV,7,74,,99,445,1,17922,17895,17752,27,1983,170,,2159264036,550,705,10002489,2018,Giv'at Ze'ev,
"גבעת ח""ן",207,GIV'AT HEN,4,42,421,20,131,1,363,363,360,,1933,310,1,1883167498,50,417,10002133,2018,Giv'at Hen,
גבעת חביבה,1740,,3,32,324,14,,,,,,,,520,,2022770712,48,351,15002436,2018,,
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411,16,141,1,1137,1137,1111,,1932,330,15,1938370064,20,409,15000060,2018,Giv'at Hayyim (Ihud),
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411,16,141,1,1006,1006,981,,1932,330,15,1937069975,16,409,15000060,2018,Giv'at Hayyim(Me'uhad),
גבעת יואב,4021,GIV'AT YO'AV,2,29,294,71,,1,703,702,678,1,1968,310,1,2641674503,294,219,10004579,2018,Giv'at Yo'av,211
גבעת יערים,787,GIV'AT YE'ARIM,1,11,111,26,444,1,1461,1460,1434,1,1950,310,1,2088063269,657,151,15000597,2018,Giv'at Ye'arim,
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112,26,444,1,828,828,816,,1958,310,6,1948961988,260,151,15000597,2018,Giv'at Yesha'yahu,
"גבעת כ""ח",802,GIV'AT KOAH,4,42,422,25,142,1,923,923,903,,1950,310,1,1940765983,60,424,10002168,2018,Giv'at Koah,
"גבעת ניל""י",360,GIV'AT NILI,3,32,323,45,,1,726,726,724,,1953,310,9,2041471707,111,351,10004233,2018,Giv'at Nili,
גבעת עוז,703,GIV'AT OZ,2,23,234,13,,1,474,473,449,1,1949,330,15,2189071785,100,254,10004249,2018,Giv'at Oz,213
גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422,0,132,1,26023,25991,25658,32,1942,160,,1860166490,21,427,10001516,2018,Giv'at Shemu'el,
גבעת שמש,566,GIV'AT SHEMESH,1,11,112,26,444,1,63,57,53,6,1954,340,,1955163138,237,151,15000597,2018,Giv'at Shemesh,
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411,16,141,1,408,408,406,,1958,310,10,1886069600,26,409,15000060,2018,Giv'at Shappira,
גבעתי,793,GIV'ATI,6,61,611,33,143,1,1022,1022,1007,,1950,310,1,1698062683,30,616,10001821,2018,Giv'ati,420
גבעתיים,6300,GIV'ATAYIM,5,52,512,0,122,1,60212,60179,58228,33,1922,150,,1822066430,3,503,10001533,2018,Giv'atayim,
גברעם,342,GEVAR'AM,6,61,614,36,,1,470,470,450,,1942,330,15,1632461117,75,633,10001829,2018,Gevar'am,
גבת,133,GEVAT,2,23,234,9,,1,935,935,922,,1926,330,15,2202173114,65,254,10004411,2018,Gevat,213
גדות,35,GADOT,2,21,213,1,,1,441,441,390,,1949,330,15,2582276940,97,253,10004540,2018,Gadot,211
גדיש,145,GADISH,2,23,234,8,,1,386,386,384,,1956,310,1,2232471829,64,204,10004394,2018,Gadish,213
גדעונה,442,GID'ONA,2,23,232,8,,1,458,458,451,,1949,350,,2339371720,-23,204,10004394,2018,Gid'ona,213
גדרה,2550,GEDERA,4,44,441,99,143,1,28092,27974,27403,118,1884,160,,1792663560,30,431,15002488,2018,Gedera,420
"גולן דרומי מ""א 71",1966,,2,29,294,71,,,,,,,,530,,2704074680,,,,2018,,211
"גולן צפוני מ""א 71",1962,,2,29,292,71,,,,,,,,530,,2709077860,,,,2018,,211
"גולן תיכון מ""א 71",1964,,2,29,293,71,,,,,,,,530,,2670076100,,,,2018,,211
גונן,852,GONEN,2,21,211,1,,1,370,370,358,,1951,330,15,2607478109,69,253,10004591,2018,Gonen,211
גורן,755,GOREN,2,24,244,52,,1,428,422,419,6,1950,310,1,2224377349,340,255,10004302,2018,Goren,212
גורנות הגליל,1219,GORNOT HAGALIL,2,24,244,52,,1,186,185,178,1,1980,350,,2236377386,340,255,10004302,2018,Gornot HaGalil,212
גזית,457,GAZIT,2,23,233,9,,1,725,725,691,,1948,330,15,2422172722,101,254,10004394,2018,Gazit,213
גזר,370,GEZER,4,43,432,30,143,1,286,284,277,2,1945,330,15,1925264268,111,426,10002228,2018,Gezer,
גיאה,706,GE'A,6,61,614,36,,1,970,970,947,,1949,310,1,1624261519,48,633,10001829,2018,Ge'a,
גיבתון,196,GIBBETON,4,44,441,28,143,1,363,363,360,,1933,350,,1811964406,37,456,10002241,2018,Gibbeton,420
גיזו,1043,GIZO,1,11,112,26,,1,204,204,202,,1968,350,,1943163471,181,151,15000597,2018,Gizo,
גילון,1204,GILON,2,24,242,56,241,1,1029,1029,1004,,1980,370,9,2224475646,204,205,10004465,2018,Gilon,210
גילת,736,GILAT,6,62,622,42,344,1,1437,1437,1433,,1949,310,1,1668758193,126,651,10001893,2018,Gilat,620
גינוסר,262,GINNOSAR,2,22,221,6,,1,593,590,568,3,1937,330,15,2493075035,-214,214,10004552,2018,Ginnosar,214
גיניגר,92,GINNEGAR,2,23,234,9,,1,707,690,665,17,1922,330,15,2244572993,79,254,10004411,2018,Ginnegar,213
גינתון,863,GINNATON,4,43,432,25,142,1,902,900,878,2,1949,310,1,1919965223,49,424,10002261,2018,Ginnaton,
גיתה,1206,GITTA,2,24,243,52,,1,286,286,247,,1980,370,13,2236176356,409,255,10004484,2018,Gitta,212
גיתית,3613,GITTIT,7,75,,75,,1,476,476,474,,1973,310,9,2375966764,252,712,10003262,2018,Gittit,
גלאון,393,GAL'ON,6,61,611,35,,1,549,549,526,,1946,330,15,1856261577,180,632,10001813,2018,Gal'on,420
גלגל,3606,GILGAL,7,75,,75,,1,178,162,150,16,1970,330,15,2424165627,-261,712,10003262,2018,Gilgal,
גליל ים,346,GELIL YAM,5,51,511,19,121,1,520,520,516,,1943,330,15,1842067381,34,401,10001605,2018,Gelil Yam,
"גליל עליון מז מ""א 1",1809,,2,21,212,1,,,,,,,,530,,2362077180,,,,2018,,211
"גליל עליון מז מ""א 2",1811,,2,21,212,2,,,,,,,,530,,2438076690,,,,2018,,211
"גליל עליון מז מ""א 55",1810,,2,21,212,55,,,,,,,,530,,2508077340,,,,2018,,211
"גליל עליון מז של""ש",1812,,2,21,212,,,,,,,,,530,,2385076890,,,,2018,,
"גליל תחתון מז מ""א 2",1820,,2,22,222,2,,,,,,,,530,,2419075400,,,,2018,,211
"גליל תחתון מז מ""א 3",1819,,2,22,222,3,,,,,,,,530,,2426074060,,,,2018,,214
"גליל תחתון מז מ""א 6",1821,,2,22,222,6,,,,,,,,530,,2484072760,,,,2018,,214
"גליל תחתון מז של""ש",1822,,2,22,222,,,,,,,,,530,,2416075000,,,,2018,,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236,13,,1,490,489,472,1,1945,330,15,2074471810,168,254,10004394,2018,Gal'ed (Even Yizhaq),213
"גמ""ל מחוז דרום",1997,,6,62,623,,,,,,,,,530,,,,,,2018,,
גמזו,745,GIMZO,4,43,431,25,142,1,1206,1206,1206,,1950,310,8,1945464834,86,424,10002261,2018,Gimzo,
גן הדרום,1072,GAN HADAROM,4,44,441,32,143,1,614,614,609,,1953,310,10,1717663473,35,456,10001821,2018,Gan HaDarom,
